type,cvss_score
InfoDisclosure,Medium
Other,Medium
CSRF,Medium
InfoDisclosure,High
XSS,High
XSS,Medium
InfoDisclosure,High
Other,Critical
DoS,Medium
PrivEsc,High
InfoDisclosure,Medium
InfoDisclosure,High
Other,High
InfoDisclosure,High
DoS,High
XSS,Medium
XSS,Low
InfoDisclosure,Medium
Other,High
SQLi,Critical
Other,High
Other,High
InfoDisclosure,High
Other,Medium
InfoDisclosure,Medium
SQLi,High
Other,Medium
Other,High
RCE,High
XSS,Medium
Other,Medium
RCE,High
Other,High
SQLi,High
Other,High
InfoDisclosure,Medium
Other,High
InfoDisclosure,Medium
SQLi,High
XSS,Medium
DoS,Low
DoS,Medium
XSS,Medium
XSS,Medium
Other,Medium
XSS,High
Other,High
SQLi,Critical
InfoDisclosure,Medium
XSS,Low
Other,Medium
XSS,Medium
InfoDisclosure,Medium
DoS,Medium
DoS,Low
InfoDisclosure,High
Other,High
Other,Medium
RCE,High
Other,High
CSRF,High
Other,Low
XSS,Low
Other,Medium
RCE,High
Other,Medium
DoS,Medium
Other,Low
Other,Medium
XSS,Medium
XSS,High
SSRF,Medium
InfoDisclosure,High
XSS,Medium
Other,High
Other,Medium
Other,Critical
XSS,Medium
Other,High
InfoDisclosure,Low
InfoDisclosure,Low
RCE,High
SQLi,High
Other,High
InfoDisclosure,Medium
CSRF,Medium
Other,High
RCE,High
Other,Medium
Other,Medium
InfoDisclosure,Medium
InfoDisclosure,Medium
SQLi,Medium
DoS,High
SQLi,Critical
DoS,High
RCE,High
Other,Medium
Other,High
InfoDisclosure,Medium
SQLi,High
Other,Medium
Other,Medium
SQLi,High
XSS,Medium
Other,Medium
RCE,High
InfoDisclosure,High
XSS,High
Other,High
XSS,Medium
Other,Medium
XSS,High
Other,Low
XSS,Critical
XSS,High
Other,Medium
XSS,Medium
Other,High
RCE,High
PrivEsc,High
SQLi,High
Other,Medium
PrivEsc,Critical
XSS,Medium
Other,High
Other,High
XSS,Medium
Other,Critical
Other,High
CSRF,Medium
XSS,Medium
InfoDisclosure,High
InfoDisclosure,Critical
XSS,Low
Other,Critical
XSS,Medium
SQLi,High
XSS,Medium
Other,Medium
InfoDisclosure,Medium
RCE,High
SQLi,High
Other,Medium
Other,Medium
Other,Critical
XSS,Medium
XSS,Medium
RCE,High
InfoDisclosure,Medium
PrivEsc,Medium
DoS,Medium
XSS,Medium
XSS,High
SQLi,Medium
CSRF,High
AuthBypass,Critical
SQLi,Medium
RCE,High
InfoDisclosure,Medium
Other,Medium
SQLi,High
XSS,Medium
SQLi,Medium
InfoDisclosure,Critical
Other,Medium
Other,High
Other,Critical
XSS,Medium
Other,Medium
Other,Medium
SQLi,Medium
PrivEsc,Critical
XSS,Medium
Other,Medium
DoS,High
XSS,Medium
Other,Low
Other,Medium
Other,Medium
InfoDisclosure,Medium
Other,High
XSS,Medium
Other,Critical
Other,Medium
Other,Medium
Other,Critical
Other,Medium
InfoDisclosure,Medium
CSRF,High
PrivEsc,High
Other,Medium
PathTraversal,High
Other,Critical
SQLi,Medium
RCE,Critical
RCE,High
Other,Medium
DoS,Medium
Other,Medium
PrivEsc,Critical
InfoDisclosure,High
Other,Medium
InfoDisclosure,Medium
InfoDisclosure,Medium
InfoDisclosure,Medium
XSS,High
XSS,Medium
Other,Medium
SQLi,High
SQLi,High
Other,High
Other,Medium
Other,Medium
XSS,Medium
Other,Medium
Other,High
XSS,Medium
Other,High
Other,High
Other,Medium
DoS,Medium
DoS,Medium
Other,High
PathTraversal,High
Other,Critical
XSS,Low
SQLi,High
XSS,Medium
Other,High
Other,High
XSS,Medium
InfoDisclosure,Medium
DoS,High
Other,Medium
InfoDisclosure,Critical
InfoDisclosure,High
SQLi,Medium
SQLi,High
Other,Critical
XSS,Medium
XSS,Medium
XSS,Medium
Other,Medium
XSS,Medium
Other,Low
Other,High
PrivEsc,High
Other,Medium
XSS,High
XSS,Medium
Other,Medium
Other,Medium
PrivEsc,Critical
DoS,High
InfoDisclosure,Medium
Other,High
Other,Medium
Other,Critical
SQLi,High
Other,Medium
Other,Medium
Other,High
Other,High
CSRF,High
RCE,High
Other,Critical
RCE,High
PathTraversal,High
PrivEsc,Medium
Other,Critical
InfoDisclosure,Medium
Other,Medium
Other,Medium
Other,Medium
XSS,Medium
SQLi,Critical
RCE,Critical
PrivEsc,High
Other,Critical
XSS,Critical
Other,Medium
XSS,Medium
XSS,Medium
XSS,Medium
DoS,Medium
Other,Medium
PathTraversal,Critical
Other,Medium
Other,Critical
DoS,High
XSS,Medium
PrivEsc,High
RCE,High
PrivEsc,High
XSS,Medium
RCE,High
InfoDisclosure,Medium
Other,Medium
XSS,High
PathTraversal,Medium
CSRF,High
Other,High
SQLi,Critical
SQLi,High
Other,Medium
Other,Medium
XSS,Medium
XSS,Medium
SQLi,Medium
SQLi,Medium
XSS,Medium
Other,Medium
Other,Critical
InfoDisclosure,Critical
Other,Medium
RCE,Critical
InfoDisclosure,High
Other,High
PrivEsc,High
InfoDisclosure,Medium
Other,Critical
XSS,High
CSRF,Medium
SQLi,Medium
RCE,High
InfoDisclosure,High
XSS,Medium
XSS,Low
XSS,Critical
SQLi,Medium
SQLi,High
SQLi,Critical
XSS,Medium
Other,High
InfoDisclosure,High
XSS,Medium
SQLi,Medium
XSS,Medium
Other,Medium
DoS,High
PathTraversal,High
Other,High
Other,Medium
XSS,Medium
XSS,Medium
InfoDisclosure,Low
Other,High
RCE,High
PrivEsc,High
XSS,Medium
DoS,High
PathTraversal,Medium
SQLi,Medium
Other,Low
XSS,Medium
SSRF,Medium
RCE,High
Other,High
Other,Critical
SQLi,High
Other,Medium
XSS,Medium
XSS,Medium
Other,Medium
InfoDisclosure,High
PrivEsc,Critical
SQLi,Medium
XSS,Medium
Other,Medium
AuthBypass,Critical
Other,High
XSS,High
DoS,Critical
DoS,Medium
Other,Low
DoS,Medium
Other,High
DoS,Medium
InfoDisclosure,Medium
Other,High
